dataset,N,nnz,F,engine,median_ms,mean_ms,min_ms,max_ms,approx_GBps
synth:200000:2e-05,200000,799994,64,baseline,0.4050,0.4065,0.4035,0.4157,505.686
synth:200000:2e-05,200000,799994,64,autosage,0.3226,0.3229,0.3215,0.3246,634.917
synth:200000:2e-05,200000,799994,128,baseline,0.6482,0.6502,0.6461,0.6595,631.908
synth:200000:2e-05,200000,799994,128,autosage,0.5642,0.5643,0.5622,0.5652,725.948
synth:200000:2e-05,200000,799994,256,baseline,1.1576,1.1588,1.1510,1.1674,707.647
synth:200000:2e-05,200000,799994,256,autosage,1.0691,1.0695,1.0680,1.0721,766.279
