dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
synthhub:200000:4:0.15,200000,219999,64,baseline,baseline,0.6523,0.6528,0.6482,0.6615,164.835
synthhub:200000:4:0.15,200000,219999,64,chosen,baseline,0.6492,0.6502,0.6461,0.6595,165.615
synthhub:200000:4:0.15,200000,219999,128,baseline,baseline,0.7081,0.7086,0.7025,0.7178,303.687
synthhub:200000:4:0.15,200000,219999,128,chosen,baseline,0.7101,1.1445,0.7045,2.9839,302.811
synthhub:200000:4:0.15,200000,219999,256,baseline,baseline,0.8596,0.8663,0.8540,0.9370,500.297
synthhub:200000:4:0.15,200000,219999,256,chosen,baseline,0.8556,0.8559,0.8530,0.8622,502.692
