dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
synthhub:200000:4:0.15,200000,219999,64,baseline,baseline,0.6579,0.6583,0.6502,0.6687,163.424
synthhub:200000:4:0.15,200000,219999,64,chosen,baseline,0.6518,0.6525,0.6492,0.6595,164.964
synthhub:200000:4:0.15,200000,219999,128,baseline,baseline,0.7158,0.7166,0.7107,0.7281,300.428
synthhub:200000:4:0.15,200000,219999,128,chosen,baseline,0.7117,0.7119,0.7066,0.7188,302.158
synthhub:200000:4:0.15,200000,219999,256,baseline,baseline,0.8658,0.9039,0.8581,1.3076,496.746
synthhub:200000:4:0.15,200000,219999,256,chosen,baseline,0.8596,0.8696,0.8571,0.9748,500.297
