N,F,nnz,deg_hub,deg_other,ftile,wpb,hubT,val,t_base_ms,t_split_ms,speedup,max_delta,allclose
20000,128,1284936,5000,64,64,2,256,False,1.6015,1.3906,1.1517,0.000366,True
20000,128,1284936,5000,64,64,2,512,False,1.6015,1.3834,1.1577,0.000366,True
20000,128,1284936,5000,64,64,2,1024,False,1.6015,1.3814,1.1594,0.000366,True
20000,128,1284936,5000,64,64,2,2048,False,1.6015,1.3230,1.2105,0.000366,True
20000,128,1284936,5000,64,64,4,256,False,1.6015,0.7035,2.2766,0.000244,True
20000,128,1284936,5000,64,64,4,512,False,1.6015,0.7025,2.2799,0.000244,True
20000,128,1284936,5000,64,64,4,1024,False,1.6015,0.7025,2.2799,0.000244,True
20000,128,1284936,5000,64,64,4,2048,False,1.6015,0.7025,2.2799,0.000244,True
20000,128,1284936,5000,64,64,8,256,False,1.6015,0.5386,2.9734,0.000301,True
20000,128,1284936,5000,64,64,8,512,False,1.6015,0.5366,2.9847,0.000301,True
20000,128,1284936,5000,64,64,8,1024,False,1.6015,0.5366,2.9847,0.000301,True
20000,128,1284936,5000,64,64,8,2048,False,1.6015,0.5366,2.9847,0.000301,True
20000,128,1284936,5000,64,128,2,256,False,1.6015,1.3169,1.2162,0.000366,True
20000,128,1284936,5000,64,128,2,512,False,1.6015,1.3158,1.2171,0.000366,True
20000,128,1284936,5000,64,128,2,1024,False,1.6015,1.3158,1.2171,0.000366,True
20000,128,1284936,5000,64,128,2,2048,False,1.6015,1.3148,1.2181,0.000366,True
20000,128,1284936,5000,64,128,4,256,False,1.6015,0.8172,1.9599,0.000244,True
20000,128,1284936,5000,64,128,4,512,False,1.6015,0.8161,1.9624,0.000244,True
20000,128,1284936,5000,64,128,4,1024,False,1.6015,0.8172,1.9599,0.000244,True
20000,128,1284936,5000,64,128,4,2048,False,1.6015,0.8172,1.9599,0.000244,True
20000,128,1284936,5000,64,128,8,256,False,1.6015,0.6124,2.6154,0.000301,True
20000,128,1284936,5000,64,128,8,512,False,1.6015,0.6124,2.6154,0.000301,True
20000,128,1284936,5000,64,128,8,1024,False,1.6015,0.6124,2.6154,0.000301,True
20000,128,1284936,5000,64,128,8,2048,False,1.6015,0.6124,2.6154,0.000301,True
