dataset,N,nnz,F,path,sddmm_choice,spmm_choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
ogbn-products,2449029,123718280,64,attn,autosage,autosage,19488.1621,19507.4990,19442.5762,19663.7988,4.959
ogbn-products,2449029,123718280,128,attn,autosage,autosage,19512.7178,19511.8675,19454.0879,19554.5488,9.854
