dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
synthhub:200000:4:0.15,200000,219999,64,baseline,baseline,10.1903,10.7045,10.1345,11.8221,10.551
synthhub:200000:4:0.15,200000,219999,64,chosen,autosage,8.9759,8.9771,8.9661,8.9969,11.979
synthhub:200000:4:0.15,200000,219999,128,baseline,baseline,19.2666,19.3403,19.2430,20.0366,11.161
synthhub:200000:4:0.15,200000,219999,128,chosen,autosage,18.0741,18.1074,18.0634,18.4207,11.898
synthhub:200000:4:0.15,200000,219999,256,baseline,baseline,37.3622,37.4144,37.3299,37.8911,11.511
synthhub:200000:4:0.15,200000,219999,256,chosen,baseline,37.3509,37.3563,37.3105,37.4548,11.515
