dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
ogbn-products,2449029,123718280,64,baseline,baseline,27.5343,27.5358,27.4258,27.6910,1173.038
ogbn-products,2449029,123718280,64,chosen,autosage,26.3854,26.3789,26.3004,26.4591,1224.117
ogbn-products,2449029,123718280,128,baseline,baseline,56.1521,56.2058,56.0046,57.1781,1150.406
ogbn-products,2449029,123718280,128,chosen,baseline,56.1613,56.1631,56.0292,56.2831,1150.217
ogbn-products,2449029,123718280,256,baseline,baseline,114.5498,114.4712,114.1750,114.7075,1127.853
ogbn-products,2449029,123718280,256,chosen,baseline,114.3849,114.3809,114.1135,114.8375,1129.479
