dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
synth:200000:2e-05,200000,799994,64,baseline,baseline,1.5227,1.5359,1.4920,1.6548,168.123
synth:200000:2e-05,200000,799994,64,chosen,autosage,0.3226,0.3224,0.3215,0.3236,793.646
synth:200000:2e-05,200000,799994,128,baseline,baseline,1.7203,1.7363,1.6988,1.8842,297.617
synth:200000:2e-05,200000,799994,128,chosen,autosage,0.5632,0.5634,0.5612,0.5673,909.085
synth:200000:2e-05,200000,799994,256,baseline,baseline,2.2308,2.2363,2.2108,2.2733,459.029
synth:200000:2e-05,200000,799994,256,chosen,autosage,1.0670,1.0675,1.0660,1.0701,959.687
