dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
synth:200000:2e-05,200000,799994,64,baseline,baseline,0.7685,0.7712,0.7660,0.7823,333.109
synth:200000:2e-05,200000,799994,64,chosen,autosage,0.2017,0.2016,0.2007,0.2028,1269.028
synth:200000:2e-05,200000,799994,128,baseline,baseline,0.9395,0.9410,0.9359,0.9492,544.956
synth:200000:2e-05,200000,799994,128,chosen,autosage,0.3348,0.3348,0.3338,0.3389,1529.043
synth:200000:2e-05,200000,799994,256,baseline,baseline,1.3614,1.3629,1.3578,1.3722,752.158
synth:200000:2e-05,200000,799994,256,chosen,autosage,0.7014,0.7014,0.6994,0.7045,1459.845
