dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
synth:200000:2e-05,200000,799994,64,baseline,baseline,0.7736,0.7825,0.7649,0.8796,330.905
synth:200000:2e-05,200000,799994,64,chosen,autosage,0.2109,0.2112,0.2109,0.2120,1213.585
synth:200000:2e-05,200000,799994,128,baseline,baseline,0.9375,0.9488,0.9329,1.0629,546.146
synth:200000:2e-05,200000,799994,128,chosen,autosage,0.4024,0.4024,0.4014,0.4065,1272.257
synth:200000:2e-05,200000,799994,256,baseline,baseline,1.3624,1.3638,1.3578,1.3752,751.593
synth:200000:2e-05,200000,799994,256,chosen,autosage,0.8212,0.8215,0.8192,0.8233,1246.875
